player,height_cm
R. Rodríguez,180
A. Oxlade-Chamberlain,175
Campaña,179
A. Mandi,184
Deulofeu,177
Bernat,170
E. Andrada,194
M. Keane,191
J. Quintero,168
Samu Castillejo,182
W. Benítez,191
A. Rebić,185
E. Bailly,186
M. Almirón,174
M. Lazzari,174
M. Lanzini,167
J. Zoet,189
M. Ryan,184
Sergi Gómez,185
H. Vanaken,195
M. Hinteregger,184
M. Nastasić,188
Gabriel,187
C. Wilson,180
J. Guilavogui,188
D. Klaassen,179
P. Kadeřábek,182
C. Kramer,191
Iñigo Martínez,182
Portu,178
Manu Trigueros,178
H. Çalhanoğlu,178
M. Dabbur,182
M. Halstenberg,187
M. Vecino,187
M. Dúbravka,190
M. Dmitrović,194
Joaquín,179
W. Rooney,176
Moyá,188
Nani,177
J. Mascherano,174
Diego López,196
I. Akinfeev,186
A. Gignac,187
Jorge Molina,188
B. Costil,187
L. Perrin,181
B. Foster,193
T. Heaton,187
