Territorio,Sesso,Età,Stato civile,Value
Piemonte,femmine,18 anni,coniugata/o,26
Piemonte,femmine,18 anni,divorziata/o,0
Piemonte,femmine,18 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,18 anni,nubile/celibe,643
Valle d'Aosta / Vallée d'Aoste,maschi,18 anni,coniugata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,18 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,18 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,18 anni,nubile/celibe,591
Valle d'Aosta / Vallée d'Aoste,femmine,18 anni,coniugata/o,1
Valle d'Aosta / Vallée d'Aoste,femmine,18 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,18 anni,vedova/o,0
Liguria,maschi,18 anni,nubile/celibe,6929
Liguria,maschi,18 anni,coniugata/o,0
Liguria,maschi,18 anni,divorziata/o,0
Liguria,maschi,18 anni,vedova/o,0
Liguria,femmine,18 anni,nubile/celibe,6312
Liguria,femmine,18 anni,coniugata/o,2
Liguria,femmine,18 anni,divorziata/o,0
Liguria,femmine,18 anni,vedova/o,0
Lombardia,maschi,18 anni,nubile/celibe,49830
Lombardia,maschi,18 anni,coniugata/o,4
Lombardia,maschi,18 anni,divorziata/o,0
Lombardia,maschi,18 anni,vedova/o,0
Lombardia,femmine,18 anni,nubile/celibe,45842
Lombardia,femmine,18 anni,coniugata/o,51
Lombardia,femmine,18 anni,divorziata/o,1
Lombardia,femmine,18 anni,vedova/o,1
Trentino Alto Adige / Südtirol,maschi,18 anni,nubile/celibe,5993
Trentino Alto Adige / Südtirol,maschi,18 anni,coniugata/o,0
Trentino Alto Adige / Südtirol,maschi,18 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,maschi,18 anni,vedova/o,0
Trentino Alto Adige / Südtirol,femmine,18 anni,nubile/celibe,5657
Trentino Alto Adige / Südtirol,femmine,18 anni,coniugata/o,4
Trentino Alto Adige / Südtirol,femmine,18 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,femmine,18 anni,vedova/o,0
Veneto,maschi,18 anni,nubile/celibe,24704
Veneto,maschi,18 anni,coniugata/o,0
Veneto,maschi,18 anni,divorziata/o,0
Veneto,maschi,18 anni,vedova/o,0
Veneto,femmine,18 anni,nubile/celibe,23008
Veneto,femmine,18 anni,coniugata/o,51
Veneto,femmine,18 anni,divorziata/o,0
Veneto,femmine,18 anni,vedova/o,0
Piemonte,maschi,19 anni,nubile/celibe,20593
Piemonte,maschi,19 anni,coniugata/o,19
Piemonte,maschi,19 anni,divorziata/o,0
Piemonte,maschi,19 anni,vedova/o,0
Piemonte,femmine,19 anni,nubile/celibe,18267
Piemonte,femmine,19 anni,coniugata/o,137
Piemonte,femmine,19 anni,divorziata/o,2
Piemonte,femmine,19 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,19 anni,nubile/celibe,644
Valle d'Aosta / Vallée d'Aoste,maschi,19 anni,coniugata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,19 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,19 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,19 anni,nubile/celibe,569
Valle d'Aosta / Vallée d'Aoste,femmine,19 anni,coniugata/o,5
Valle d'Aosta / Vallée d'Aoste,femmine,19 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,19 anni,vedova/o,0
Liguria,maschi,19 anni,nubile/celibe,7052
Liguria,maschi,19 anni,coniugata/o,4
Liguria,maschi,19 anni,divorziata/o,0
Liguria,maschi,19 anni,vedova/o,0
Liguria,femmine,19 anni,nubile/celibe,6119
Liguria,femmine,19 anni,coniugata/o,28
Liguria,femmine,19 anni,divorziata/o,0
Liguria,femmine,19 anni,vedova/o,0
Lombardia,maschi,19 anni,nubile/celibe,49667
Lombardia,maschi,19 anni,coniugata/o,14
Lombardia,maschi,19 anni,divorziata/o,1
Lombardia,maschi,19 anni,vedova/o,0
Lombardia,femmine,19 anni,nubile/celibe,44930
Lombardia,femmine,19 anni,coniugata/o,234
Lombardia,femmine,19 anni,divorziata/o,1
Lombardia,femmine,19 anni,vedova/o,0
Trentino Alto Adige / Südtirol,maschi,19 anni,nubile/celibe,6071
Trentino Alto Adige / Südtirol,maschi,19 anni,coniugata/o,2
Trentino Alto Adige / Südtirol,maschi,19 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,maschi,19 anni,vedova/o,0
Trentino Alto Adige / Südtirol,femmine,19 anni,nubile/celibe,5604
Trentino Alto Adige / Südtirol,femmine,19 anni,coniugata/o,50
Trentino Alto Adige / Südtirol,femmine,19 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,femmine,19 anni,vedova/o,0
Veneto,maschi,19 anni,nubile/celibe,24322
Veneto,maschi,19 anni,coniugata/o,6
Veneto,maschi,19 anni,divorziata/o,0
Veneto,maschi,19 anni,vedova/o,0
Veneto,femmine,19 anni,nubile/celibe,22678
Veneto,femmine,19 anni,coniugata/o,166
Veneto,femmine,19 anni,divorziata/o,0
Veneto,femmine,19 anni,vedova/o,0
Friuli-Venezia Giulia,maschi,19 anni,nubile/celibe,5535
Friuli-Venezia Giulia,maschi,19 anni,coniugata/o,2
Friuli-Venezia Giulia,maschi,19 anni,divorziata/o,1
Friuli-Venezia Giulia,maschi,19 anni,vedova/o,0
Friuli-Venezia Giulia,femmine,19 anni,nubile/celibe,4969
Friuli-Venezia Giulia,femmine,19 anni,coniugata/o,38
Friuli-Venezia Giulia,femmine,19 anni,divorziata/o,1
Friuli-Venezia Giulia,femmine,19 anni,vedova/o,0
Emilia-Romagna,maschi,19 anni,nubile/celibe,20763
Emilia-Romagna,maschi,19 anni,coniugata/o,21
Emilia-Romagna,maschi,19 anni,divorziata/o,0
Emilia-Romagna,maschi,19 anni,vedova/o,0
Emilia-Romagna,femmine,19 anni,nubile/celibe,18645
Emilia-Romagna,femmine,19 anni,coniugata/o,147
Emilia-Romagna,femmine,19 anni,divorziata/o,0
Emilia-Romagna,femmine,19 anni,vedova/o,0
Toscana,maschi,19 anni,nubile/celibe,17234
Toscana,maschi,19 anni,coniugata/o,6
Toscana,maschi,19 anni,divorziata/o,0
Toscana,maschi,19 anni,vedova/o,0
Toscana,femmine,19 anni,nubile/celibe,15159
Toscana,femmine,19 anni,coniugata/o,86
Toscana,femmine,19 anni,divorziata/o,0
Toscana,femmine,19 anni,vedova/o,0
Umbria,maschi,19 anni,nubile/celibe,4199
Umbria,maschi,19 anni,coniugata/o,1
Umbria,maschi,19 anni,divorziata/o,0
Umbria,maschi,19 anni,vedova/o,0
Umbria,femmine,19 anni,nubile/celibe,3582
Umbria,femmine,19 anni,coniugata/o,23
Umbria,femmine,19 anni,divorziata/o,0
Umbria,femmine,19 anni,vedova/o,0
Marche,maschi,19 anni,nubile/celibe,7430
Marche,maschi,19 anni,coniugata/o,5
Marche,maschi,19 anni,divorziata/o,0
Marche,maschi,19 anni,vedova/o,0
Marche,femmine,19 anni,nubile/celibe,6719
Marche,femmine,19 anni,coniugata/o,50
Marche,femmine,19 anni,divorziata/o,0
Marche,femmine,19 anni,vedova/o,0
Lazio,maschi,19 anni,nubile/celibe,28080
Lazio,maschi,19 anni,coniugata/o,9
Lazio,maschi,19 anni,divorziata/o,0
Lazio,maschi,19 anni,vedova/o,0
Lazio,femmine,19 anni,nubile/celibe,25550
Lazio,femmine,19 anni,coniugata/o,69
Lazio,femmine,19 anni,divorziata/o,0
Lazio,femmine,19 anni,vedova/o,0
Abruzzo,maschi,19 anni,nubile/celibe,6363
Abruzzo,maschi,19 anni,coniugata/o,5
Abruzzo,maschi,19 anni,divorziata/o,0
Abruzzo,maschi,19 anni,vedova/o,0
Abruzzo,femmine,19 anni,nubile/celibe,5725
Abruzzo,femmine,19 anni,coniugata/o,38
Abruzzo,femmine,19 anni,divorziata/o,0
Abruzzo,femmine,19 anni,vedova/o,0
Molise,maschi,19 anni,nubile/celibe,1625
Molise,maschi,19 anni,coniugata/o,1
Molise,maschi,19 anni,divorziata/o,0
Molise,maschi,19 anni,vedova/o,0
Molise,femmine,19 anni,nubile/celibe,1389
Molise,femmine,19 anni,coniugata/o,5
Molise,femmine,19 anni,divorziata/o,0
Molise,femmine,19 anni,vedova/o,0
Campania,maschi,19 anni,nubile/celibe,35530
Campania,maschi,19 anni,coniugata/o,16
Campania,maschi,19 anni,divorziata/o,1
Campania,maschi,19 anni,vedova/o,0
Campania,femmine,19 anni,nubile/celibe,32524
Campania,femmine,19 anni,coniugata/o,154
Campania,femmine,19 anni,divorziata/o,1
Campania,femmine,19 anni,vedova/o,1
Puglia,maschi,19 anni,nubile/celibe,23021
Puglia,maschi,19 anni,coniugata/o,4
Puglia,maschi,19 anni,divorziata/o,0
Puglia,maschi,19 anni,vedova/o,0
Puglia,femmine,19 anni,nubile/celibe,20738
Puglia,femmine,19 anni,coniugata/o,76
Puglia,femmine,19 anni,divorziata/o,0
Puglia,femmine,19 anni,vedova/o,0
Basilicata,maschi,19 anni,nubile/celibe,3073
Basilicata,maschi,19 anni,coniugata/o,0
Basilicata,maschi,19 anni,divorziata/o,3
Basilicata,maschi,19 anni,vedova/o,0
Basilicata,femmine,19 anni,nubile/celibe,2754
Basilicata,femmine,19 anni,coniugata/o,9
Basilicata,femmine,19 anni,divorziata/o,0
Basilicata,femmine,19 anni,vedova/o,0
Calabria,maschi,19 anni,nubile/celibe,10778
Calabria,maschi,19 anni,coniugata/o,11
Calabria,maschi,19 anni,divorziata/o,0
Calabria,maschi,19 anni,vedova/o,1
Calabria,femmine,19 anni,nubile/celibe,9657
Calabria,femmine,19 anni,coniugata/o,51
Calabria,femmine,19 anni,divorziata/o,1
Calabria,femmine,19 anni,vedova/o,0
Sicilia,maschi,19 anni,nubile/celibe,29063
Sicilia,maschi,19 anni,coniugata/o,29
Sicilia,maschi,19 anni,divorziata/o,0
Sicilia,maschi,19 anni,vedova/o,1
Sicilia,femmine,19 anni,nubile/celibe,26331
Sicilia,femmine,19 anni,coniugata/o,215
Sicilia,femmine,19 anni,divorziata/o,0
Sicilia,femmine,19 anni,vedova/o,0
Sardegna,maschi,19 anni,nubile/celibe,7774
Sardegna,maschi,19 anni,coniugata/o,2
Sardegna,maschi,19 anni,vedova/o,0
Sardegna,femmine,19 anni,nubile/celibe,6763
Sardegna,femmine,19 anni,coniugata/o,8
Sardegna,femmine,19 anni,divorziata/o,0
Sardegna,femmine,19 anni,vedova/o,0
Sardegna,maschi,19 anni,divorziata/o,1
Piemonte,maschi,20 anni,nubile/celibe,21353
Piemonte,maschi,20 anni,coniugata/o,28
Piemonte,maschi,20 anni,divorziata/o,2
Piemonte,maschi,20 anni,vedova/o,0
Piemonte,femmine,20 anni,nubile/celibe,18449
Piemonte,femmine,20 anni,divorziata/o,1
Piemonte,femmine,20 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,20 anni,coniugata/o,1
Valle d'Aosta / Vallée d'Aoste,maschi,20 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,20 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,20 anni,nubile/celibe,555
Valle d'Aosta / Vallée d'Aoste,femmine,20 anni,coniugata/o,9
Valle d'Aosta / Vallée d'Aoste,femmine,20 anni,vedova/o,0
Liguria,maschi,20 anni,nubile/celibe,7213
Liguria,maschi,20 anni,coniugata/o,4
Liguria,maschi,20 anni,vedova/o,0
Liguria,femmine,20 anni,nubile/celibe,6183
Liguria,femmine,20 anni,coniugata/o,85
Liguria,femmine,20 anni,divorziata/o,1
Liguria,femmine,20 anni,vedova/o,0
Lombardia,maschi,20 anni,nubile/celibe,50998
Lombardia,maschi,20 anni,coniugata/o,45
Lombardia,maschi,20 anni,vedova/o,0
Lombardia,femmine,20 anni,nubile/celibe,44420
Lombardia,femmine,20 anni,coniugata/o,581
Lombardia,femmine,20 anni,divorziata/o,3
Lombardia,femmine,20 anni,vedova/o,0
Trentino Alto Adige / Südtirol,maschi,20 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,maschi,20 anni,vedova/o,0
Trentino Alto Adige / Südtirol,femmine,20 anni,nubile/celibe,5647
Sardegna,maschi,20 anni,nubile/celibe,7707
Sardegna,maschi,20 anni,coniugata/o,2
Sardegna,maschi,20 anni,divorziata/o,0
Sardegna,femmine,20 anni,nubile/celibe,6613
Sardegna,femmine,20 anni,coniugata/o,19
Sardegna,femmine,20 anni,divorziata/o,0
Sardegna,femmine,20 anni,vedova/o,0
Piemonte,femmine,20 anni,coniugata/o,257
Valle d'Aosta / Vallée d'Aoste,maschi,20 anni,nubile/celibe,632
Valle d'Aosta / Vallée d'Aoste,femmine,20 anni,divorziata/o,0
Liguria,maschi,20 anni,divorziata/o,0
Lombardia,maschi,20 anni,divorziata/o,2
Trentino Alto Adige / Südtirol,maschi,20 anni,nubile/celibe,6097
Trentino Alto Adige / Südtirol,maschi,20 anni,coniugata/o,9
Trentino Alto Adige / Südtirol,femmine,20 anni,coniugata/o,93
Trentino Alto Adige / Südtirol,femmine,20 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,femmine,20 anni,vedova/o,0
Veneto,maschi,20 anni,nubile/celibe,25062
Veneto,maschi,20 anni,coniugata/o,23
Veneto,maschi,20 anni,divorziata/o,1
Veneto,maschi,20 anni,vedova/o,1
Veneto,femmine,20 anni,nubile/celibe,22454
Veneto,femmine,20 anni,coniugata/o,311
Veneto,femmine,20 anni,divorziata/o,2
Veneto,femmine,20 anni,vedova/o,2
Friuli-Venezia Giulia,maschi,20 anni,nubile/celibe,5611
Friuli-Venezia Giulia,maschi,20 anni,coniugata/o,7
Friuli-Venezia Giulia,maschi,20 anni,divorziata/o,0
Friuli-Venezia Giulia,maschi,20 anni,vedova/o,0
Friuli-Venezia Giulia,femmine,20 anni,nubile/celibe,4974
Friuli-Venezia Giulia,femmine,20 anni,coniugata/o,69
Friuli-Venezia Giulia,femmine,20 anni,divorziata/o,1
Friuli-Venezia Giulia,femmine,20 anni,vedova/o,0
Emilia-Romagna,maschi,20 anni,nubile/celibe,21596
Emilia-Romagna,maschi,20 anni,coniugata/o,47
Emilia-Romagna,maschi,20 anni,divorziata/o,0
Emilia-Romagna,maschi,20 anni,vedova/o,0
Emilia-Romagna,femmine,20 anni,nubile/celibe,18005
Emilia-Romagna,femmine,20 anni,coniugata/o,364
Emilia-Romagna,femmine,20 anni,divorziata/o,2
Emilia-Romagna,femmine,20 anni,vedova/o,0
Toscana,maschi,20 anni,nubile/celibe,17795
Toscana,maschi,20 anni,coniugata/o,17
Toscana,maschi,20 anni,divorziata/o,0
Toscana,maschi,20 anni,vedova/o,0
Toscana,femmine,20 anni,nubile/celibe,15253
Toscana,femmine,20 anni,coniugata/o,228
Toscana,femmine,20 anni,divorziata/o,2
Toscana,femmine,20 anni,vedova/o,0
Umbria,maschi,20 anni,nubile/celibe,4214
Umbria,maschi,20 anni,coniugata/o,4
Umbria,maschi,20 anni,divorziata/o,0
Umbria,maschi,20 anni,vedova/o,0
Umbria,femmine,20 anni,nubile/celibe,3626
Umbria,femmine,20 anni,coniugata/o,49
Umbria,femmine,20 anni,divorziata/o,0
Umbria,femmine,20 anni,vedova/o,0
Marche,maschi,20 anni,nubile/celibe,7796
Marche,maschi,20 anni,coniugata/o,9
Marche,maschi,20 anni,divorziata/o,0
Marche,maschi,20 anni,vedova/o,0
Marche,femmine,20 anni,nubile/celibe,6701
Marche,femmine,20 anni,coniugata/o,98
Marche,femmine,20 anni,divorziata/o,0
Marche,femmine,20 anni,vedova/o,0
Lazio,maschi,20 anni,nubile/celibe,29118
Lazio,maschi,20 anni,coniugata/o,27
Lazio,maschi,20 anni,divorziata/o,0
Lazio,maschi,20 anni,vedova/o,0
Lazio,femmine,20 anni,nubile/celibe,25825
Lazio,femmine,20 anni,coniugata/o,183
Lazio,femmine,20 anni,divorziata/o,1
Lazio,femmine,20 anni,vedova/o,0
Abruzzo,maschi,20 anni,nubile/celibe,6502
Abruzzo,maschi,20 anni,coniugata/o,13
Abruzzo,maschi,20 anni,divorziata/o,0
Abruzzo,maschi,20 anni,vedova/o,0
Abruzzo,femmine,20 anni,nubile/celibe,5856
Abruzzo,femmine,20 anni,coniugata/o,74
Abruzzo,femmine,20 anni,divorziata/o,1
Abruzzo,femmine,20 anni,vedova/o,0
Molise,maschi,20 anni,nubile/celibe,1786
Molise,maschi,20 anni,coniugata/o,4
Molise,maschi,20 anni,divorziata/o,0
Molise,maschi,20 anni,vedova/o,0
Molise,femmine,20 anni,nubile/celibe,1412
Molise,femmine,20 anni,coniugata/o,22
Molise,femmine,20 anni,divorziata/o,0
Molise,femmine,20 anni,vedova/o,0
Campania,maschi,20 anni,nubile/celibe,36032
Campania,maschi,20 anni,coniugata/o,80
Campania,maschi,20 anni,divorziata/o,1
Campania,maschi,20 anni,vedova/o,0
Campania,femmine,20 anni,nubile/celibe,32340
Campania,femmine,20 anni,coniugata/o,371
Campania,femmine,20 anni,divorziata/o,2
Campania,femmine,20 anni,vedova/o,1
Puglia,maschi,20 anni,nubile/celibe,23061
Puglia,maschi,20 anni,coniugata/o,26
Puglia,maschi,20 anni,divorziata/o,0
Puglia,maschi,20 anni,vedova/o,0
Puglia,femmine,20 anni,nubile/celibe,20747
Puglia,femmine,20 anni,coniugata/o,175
Puglia,femmine,20 anni,divorziata/o,0
Puglia,femmine,20 anni,vedova/o,1
Basilicata,maschi,20 anni,nubile/celibe,3183
Basilicata,maschi,20 anni,coniugata/o,3
Basilicata,maschi,20 anni,divorziata/o,0
Basilicata,maschi,20 anni,vedova/o,0
Basilicata,femmine,20 anni,nubile/celibe,2662
Basilicata,femmine,20 anni,coniugata/o,25
Basilicata,femmine,20 anni,divorziata/o,0
Basilicata,femmine,20 anni,vedova/o,0
Calabria,maschi,20 anni,nubile/celibe,10846
Calabria,maschi,20 anni,coniugata/o,22
Calabria,maschi,20 anni,divorziata/o,0
Calabria,maschi,20 anni,vedova/o,0
Calabria,femmine,20 anni,nubile/celibe,9876
Calabria,femmine,20 anni,coniugata/o,147
Calabria,femmine,20 anni,divorziata/o,0
Calabria,femmine,20 anni,vedova/o,0
Sicilia,maschi,20 anni,nubile/celibe,28825
Sicilia,maschi,20 anni,coniugata/o,52
Sicilia,maschi,20 anni,divorziata/o,0
Sicilia,maschi,20 anni,vedova/o,0
Sicilia,femmine,20 anni,nubile/celibe,25726
Sicilia,femmine,20 anni,coniugata/o,517
Sicilia,femmine,20 anni,divorziata/o,0
Sicilia,femmine,20 anni,vedova/o,0
Sardegna,maschi,20 anni,vedova/o,0
Piemonte,maschi,21 anni,nubile/celibe,20923
Piemonte,maschi,21 anni,coniugata/o,60
Piemonte,maschi,21 anni,divorziata/o,4
Piemonte,maschi,21 anni,vedova/o,0
Piemonte,femmine,21 anni,nubile/celibe,18445
Piemonte,femmine,21 anni,coniugata/o,489
Piemonte,femmine,21 anni,divorziata/o,9
Piemonte,femmine,21 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,21 anni,nubile/celibe,591
Valle d'Aosta / Vallée d'Aoste,maschi,21 anni,coniugata/o,1
Valle d'Aosta / Vallée d'Aoste,maschi,21 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,21 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,21 anni,nubile/celibe,527
Valle d'Aosta / Vallée d'Aoste,femmine,21 anni,coniugata/o,15
Valle d'Aosta / Vallée d'Aoste,femmine,21 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,21 anni,vedova/o,0
Liguria,maschi,21 anni,nubile/celibe,7093
Liguria,maschi,21 anni,coniugata/o,13
Liguria,maschi,21 anni,divorziata/o,0
Liguria,maschi,21 anni,vedova/o,0
Liguria,femmine,21 anni,nubile/celibe,6197
Liguria,femmine,21 anni,coniugata/o,143
Liguria,femmine,21 anni,divorziata/o,0
Liguria,femmine,21 anni,vedova/o,0
Lombardia,maschi,21 anni,nubile/celibe,50328
Lombardia,maschi,21 anni,coniugata/o,118
Lombardia,maschi,21 anni,divorziata/o,1
Lombardia,maschi,21 anni,vedova/o,0
Lombardia,femmine,21 anni,nubile/celibe,44034
Lombardia,femmine,21 anni,coniugata/o,1019
Lombardia,femmine,21 anni,divorziata/o,10
Lombardia,femmine,21 anni,vedova/o,0
Trentino Alto Adige / Südtirol,maschi,21 anni,nubile/celibe,6183
Trentino Alto Adige / Südtirol,maschi,21 anni,coniugata/o,22
Trentino Alto Adige / Südtirol,maschi,21 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,maschi,21 anni,vedova/o,0
Trentino Alto Adige / Südtirol,femmine,21 anni,nubile/celibe,5490
Trentino Alto Adige / Südtirol,femmine,21 anni,coniugata/o,113
Trentino Alto Adige / Südtirol,femmine,21 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,femmine,21 anni,vedova/o,0
Veneto,maschi,21 anni,nubile/celibe,24858
Veneto,maschi,21 anni,coniugata/o,68
Veneto,maschi,21 anni,divorziata/o,0
Veneto,maschi,21 anni,vedova/o,2
Veneto,femmine,21 anni,nubile/celibe,22297
Veneto,femmine,21 anni,coniugata/o,579
Veneto,femmine,21 anni,divorziata/o,3
Veneto,femmine,21 anni,vedova/o,0
Friuli-Venezia Giulia,maschi,21 anni,nubile/celibe,5516
Friuli-Venezia Giulia,maschi,21 anni,coniugata/o,21
Friuli-Venezia Giulia,maschi,21 anni,divorziata/o,0
Friuli-Venezia Giulia,maschi,21 anni,vedova/o,0
Friuli-Venezia Giulia,femmine,21 anni,nubile/celibe,4848
Friuli-Venezia Giulia,femmine,21 anni,coniugata/o,110
Friuli-Venezia Giulia,femmine,21 anni,divorziata/o,0
Friuli-Venezia Giulia,femmine,21 anni,vedova/o,0
Emilia-Romagna,maschi,21 anni,nubile/celibe,21065
Emilia-Romagna,maschi,21 anni,coniugata/o,80
Emilia-Romagna,maschi,21 anni,divorziata/o,3
Emilia-Romagna,maschi,21 anni,vedova/o,0
Emilia-Romagna,femmine,21 anni,nubile/celibe,18187
Emilia-Romagna,femmine,21 anni,coniugata/o,634
Emilia-Romagna,femmine,21 anni,divorziata/o,2
Emilia-Romagna,femmine,21 anni,vedova/o,0
Toscana,maschi,21 anni,nubile/celibe,17518
Toscana,maschi,21 anni,coniugata/o,36
Toscana,maschi,21 anni,divorziata/o,0
Toscana,maschi,21 anni,vedova/o,0
Toscana,femmine,21 anni,nubile/celibe,15181
Toscana,femmine,21 anni,coniugata/o,354
Toscana,femmine,21 anni,divorziata/o,1
Toscana,femmine,21 anni,vedova/o,0
Umbria,maschi,21 anni,nubile/celibe,4132
Umbria,maschi,21 anni,coniugata/o,6
Umbria,maschi,21 anni,divorziata/o,0
Umbria,maschi,21 anni,vedova/o,0
Umbria,femmine,21 anni,nubile/celibe,3647
Umbria,femmine,21 anni,coniugata/o,70
Umbria,femmine,21 anni,divorziata/o,0
Umbria,femmine,21 anni,vedova/o,0
Marche,maschi,21 anni,nubile/celibe,7548
Marche,maschi,21 anni,coniugata/o,10
Marche,maschi,21 anni,divorziata/o,0
Marche,maschi,21 anni,vedova/o,0
Marche,femmine,21 anni,nubile/celibe,6653
Marche,femmine,21 anni,coniugata/o,170
Marche,femmine,21 anni,divorziata/o,0
Marche,femmine,21 anni,vedova/o,0
Lazio,maschi,21 anni,nubile/celibe,28836
Lazio,maschi,21 anni,coniugata/o,55
Lazio,maschi,21 anni,divorziata/o,0
Lazio,maschi,21 anni,vedova/o,0
Lazio,femmine,21 anni,nubile/celibe,25648
Lazio,femmine,21 anni,coniugata/o,375
Lazio,femmine,21 anni,divorziata/o,2
Lazio,femmine,21 anni,vedova/o,0
Abruzzo,maschi,21 anni,nubile/celibe,6571
Abruzzo,maschi,21 anni,coniugata/o,12
Abruzzo,maschi,21 anni,divorziata/o,1
Abruzzo,maschi,21 anni,vedova/o,0
Abruzzo,femmine,21 anni,nubile/celibe,5748
Abruzzo,femmine,21 anni,coniugata/o,105
Abruzzo,femmine,21 anni,divorziata/o,0
Abruzzo,femmine,21 anni,vedova/o,1
Molise,maschi,21 anni,nubile/celibe,1728
Molise,maschi,21 anni,coniugata/o,7
Molise,maschi,21 anni,divorziata/o,0
Molise,maschi,21 anni,vedova/o,0
Molise,femmine,21 anni,nubile/celibe,1416
Molise,femmine,21 anni,coniugata/o,14
Molise,femmine,21 anni,divorziata/o,0
Molise,femmine,21 anni,vedova/o,0
Campania,maschi,21 anni,nubile/celibe,35855
Campania,maschi,21 anni,coniugata/o,140
Campania,maschi,21 anni,divorziata/o,2
Campania,maschi,21 anni,vedova/o,0
Campania,femmine,21 anni,nubile/celibe,32142
Campania,femmine,21 anni,coniugata/o,749
Campania,femmine,21 anni,divorziata/o,4
Campania,femmine,21 anni,vedova/o,0
Puglia,maschi,21 anni,nubile/celibe,22920
Puglia,maschi,21 anni,coniugata/o,54
Puglia,maschi,21 anni,divorziata/o,1
Puglia,maschi,21 anni,vedova/o,0
Puglia,femmine,21 anni,nubile/celibe,20636
Puglia,femmine,21 anni,coniugata/o,349
Puglia,femmine,21 anni,divorziata/o,0
Puglia,femmine,21 anni,vedova/o,0
Basilicata,maschi,21 anni,nubile/celibe,3117
Basilicata,maschi,21 anni,coniugata/o,5
Basilicata,maschi,21 anni,divorziata/o,1
Basilicata,maschi,21 anni,vedova/o,0
Basilicata,femmine,21 anni,nubile/celibe,2716
Basilicata,femmine,21 anni,coniugata/o,48
Basilicata,femmine,21 anni,divorziata/o,0
Basilicata,femmine,21 anni,vedova/o,0
Calabria,maschi,21 anni,nubile/celibe,10811
Calabria,maschi,21 anni,coniugata/o,33
Calabria,maschi,21 anni,divorziata/o,1
Calabria,maschi,21 anni,vedova/o,1
Calabria,femmine,21 anni,nubile/celibe,9600
Calabria,femmine,21 anni,coniugata/o,257
Calabria,femmine,21 anni,divorziata/o,2
Calabria,femmine,21 anni,vedova/o,0
Sicilia,maschi,21 anni,nubile/celibe,28846
Sicilia,maschi,21 anni,coniugata/o,154
Sicilia,maschi,21 anni,divorziata/o,0
Sicilia,maschi,21 anni,vedova/o,0
Sicilia,femmine,21 anni,nubile/celibe,25560
Sicilia,femmine,21 anni,coniugata/o,858
Sicilia,femmine,21 anni,divorziata/o,2
Sicilia,femmine,21 anni,vedova/o,0
Sardegna,maschi,21 anni,nubile/celibe,7715
Sardegna,maschi,21 anni,coniugata/o,9
Sardegna,maschi,21 anni,divorziata/o,0
Sardegna,maschi,21 anni,vedova/o,1
Sardegna,femmine,21 anni,nubile/celibe,6698
Sardegna,femmine,21 anni,coniugata/o,45
Sardegna,femmine,21 anni,divorziata/o,1
Sardegna,femmine,21 anni,vedova/o,0
Piemonte,maschi,22 anni,nubile/celibe,20756
Piemonte,maschi,22 anni,coniugata/o,134
Piemonte,maschi,22 anni,divorziata/o,0
Piemonte,maschi,22 anni,vedova/o,0
Piemonte,femmine,22 anni,nubile/celibe,17765
Piemonte,femmine,22 anni,coniugata/o,717
Piemonte,femmine,22 anni,divorziata/o,4
Piemonte,femmine,22 anni,vedova/o,1
Valle d'Aosta / Vallée d'Aoste,maschi,22 anni,nubile/celibe,639
Valle d'Aosta / Vallée d'Aoste,maschi,22 anni,coniugata/o,3
Valle d'Aosta / Vallée d'Aoste,maschi,22 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,22 anni,vedova/o,0
Valle d'Aosta / Vallée d'Aoste,femmine,22 anni,nubile/celibe,562
Valle d'Aosta / Vallée d'Aoste,femmine,22 anni,coniugata/o,17
Valle d'Aosta / Vallée d'Aoste,femmine,22 anni,divorziata/o,0
