Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16 08_AM,185.050003,188.580002,185.050003,186.990005,186.990005,12953100
2019-05-17 08_AM,184.83999599999999,187.580002,184.279999,185.300003,185.300003,10485400
2019-05-20 08_AM,181.880005,184.229996,181.369995,182.720001,182.720001,10352000
2019-05-21 08_AM,184.570007,185.699997,183.889999,184.820007,184.820007,7502800
2019-05-22 08_AM,184.729996,186.740005,183.610001,185.320007,185.320007,9213800
2019-05-23 08_AM,182.419998,183.899994,179.669998,180.869995,180.869995,12768800
2019-05-24 08_AM,182.330002,183.630005,180.830002,181.059998,181.059998,8807700
2019-05-28 08_AM,181.53999299999998,184.71000700000002,181.449997,184.309998,184.309998,14843300
2019-05-29 08_AM,183.5,184.559998,181.350006,182.190002,182.190002,12797700
2019-05-30 08_AM,183.080002,183.479996,180.889999,183.009995,183.009995,8581500
2019-05-31 08_AM,180.279999,180.53999299999998,177.16000400000001,177.470001,177.470001,15226500
2019-06-03 08_AM,175.0,175.050003,161.009995,164.149994,164.149994,56059600
2019-06-04 08_AM,163.71000700000002,168.279999,160.83999599999999,167.5,167.5,46044300
2019-06-05 08_AM,167.479996,168.720001,164.630005,168.169998,168.169998,19758300
2019-06-06 08_AM,168.300003,169.699997,167.229996,168.330002,168.330002,12446400
2019-06-07 08_AM,170.169998,173.869995,168.83999599999999,173.350006,173.350006,16917300
2019-06-10 08_AM,174.75,177.860001,173.800003,174.820007,174.820007,14767900
2019-06-11 08_AM,178.479996,179.979996,176.78999299999998,178.100006,178.100006,15266600
2019-06-12 08_AM,178.380005,179.270004,172.880005,175.03999299999998,175.03999299999998,17681500
2019-06-13 08_AM,175.529999,178.029999,174.610001,177.470001,177.470001,12253600
2019-06-14 08_AM,180.509995,181.83999599999999,180.0,181.330002,181.330002,16773700
2019-06-17 08_AM,185.009995,189.5,184.41000400000001,189.009995,189.009995,29459900
2019-06-18 08_AM,194.0,194.529999,187.279999,188.470001,188.470001,37571400
2019-06-19 08_AM,187.0,188.100006,184.550003,187.479996,187.479996,21417100
2019-06-20 08_AM,190.949997,191.16000400000001,187.639999,189.529999,189.529999,14635700
2019-06-21 08_AM,188.75,192.0,188.75,191.139999,191.139999,22751200
2019-06-24 08_AM,192.419998,193.979996,191.570007,192.600006,192.600006,15509000
2019-06-25 08_AM,192.880005,193.139999,188.130005,188.83999599999999,188.83999599999999,16750300
2019-06-26 08_AM,189.53999299999998,190.759995,187.309998,187.66000400000001,187.66000400000001,12808600
2019-06-27 08_AM,189.880005,198.880005,188.270004,189.5,189.5,11159000
2019-06-28 08_AM,190.550003,193.199997,189.940002,193.0,193.0,16378900
2019-07-01 08_AM,195.21000700000002,195.279999,191.929993,193.0,193.0,14204700
2019-07-02 08_AM,193.0,195.0,192.71000700000002,195.0,195.0,9050000
2019-07-03 08_AM,194.16000400000001,197.399994,194.16000400000001,197.199997,197.199997,10246100
2019-07-05 08_AM,196.179993,197.070007,194.169998,196.399994,196.399994,11164100
